Type of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-M-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Middle Filter Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,,Astoria/77 St,yes,N/A,no,,23 Ave/Ditmars Blvd,80,no,,Astoria Blvd DMF,yes,108,no,0: All Days (M-Su),0: All Day (12am-12am),20,100248,7538,41811,1059
Personal,,Astoria/77 St,yes,N/A,no,,23 Ave/Ditmars Blvd,80,no,,Astoria Blvd DMF,yes,108,no,0: All Days (M-Su),1: Peak AM (7am-10am),2,12920,783,5436,1465
Personal,,Astoria/77 St,yes,N/A,no,,23 Ave/Ditmars Blvd,80,no,,Astoria Blvd DMF,yes,108,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),13,20310,2108,8865,1051
Personal,,Astoria/77 St,yes,N/A,no,,23 Ave/Ditmars Blvd,80,no,,Astoria Blvd DMF,yes,108,no,1: Weekday (Tu-Th),0: All Day (12am-12am),27,102205,8193,42552,1051
Personal,,Astoria/77 St,yes,N/A,no,,23 Ave/Ditmars Blvd,80,no,,Astoria Blvd DMF,yes,108,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),27,21740,2470,9253,1051
Personal,,Astoria/77 St,yes,N/A,no,,23 Ave/Ditmars Blvd,80,no,,Ditmars DMF,yes,143,no,0: All Days (M-Su),0: All Day (12am-12am),850,100248,7538,37942,574
Personal,,Astoria/77 St,yes,N/A,no,,23 Ave/Ditmars Blvd,80,no,,Ditmars DMF,yes,143,no,0: All Days (M-Su),1: Peak AM (7am-10am),49,12920,783,3997,307
Personal,,Astoria/77 St,yes,N/A,no,,23 Ave/Ditmars Blvd,80,no,,Ditmars DMF,yes,143,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),382,20310,2108,10227,637
Personal,,Astoria/77 St,yes,N/A,no,,23 Ave/Ditmars Blvd,80,no,,Ditmars DMF,yes,143,no,1: Weekday (Tu-Th),0: All Day (12am-12am),987,102205,8193,39364,616
Personal,,Astoria/77 St,yes,N/A,no,,23 Ave/Ditmars Blvd,80,no,,Ditmars DMF,yes,143,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),65,14297,915,4470,304
