Type of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index)
Personal,Origin,,Astoria/77 St,yes,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),100248
Personal,Origin,,Astoria/77 St,yes,N/A,no,0: All Days (M-Su),1: Peak AM (7am-10am),12920
Personal,Origin,,Astoria/77 St,yes,N/A,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),20310
Personal,Origin,,Astoria/77 St,yes,N/A,no,1: Weekday (Tu-Th),0: All Day (12am-12am),102205
Personal,Origin,,Astoria/77 St,yes,N/A,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),14297
Personal,Origin,,Astoria/77 St,yes,N/A,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),21740
Personal,Middle Filter,,23 Ave/Ditmars Blvd,yes,80,no,0: All Days (M-Su),0: All Day (12am-12am),7538
Personal,Middle Filter,,23 Ave/Ditmars Blvd,yes,80,no,0: All Days (M-Su),1: Peak AM (7am-10am),783
Personal,Middle Filter,,23 Ave/Ditmars Blvd,yes,80,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),2108
Personal,Middle Filter,,23 Ave/Ditmars Blvd,yes,80,no,1: Weekday (Tu-Th),0: All Day (12am-12am),8193
Personal,Middle Filter,,23 Ave/Ditmars Blvd,yes,80,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),915
Personal,Middle Filter,,23 Ave/Ditmars Blvd,yes,80,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),2470
Personal,Middle Filter,,31 Ave/80 St,yes,83,no,0: All Days (M-Su),0: All Day (12am-12am),4576
Personal,Middle Filter,,31 Ave/80 St,yes,83,no,0: All Days (M-Su),1: Peak AM (7am-10am),344
Personal,Middle Filter,,31 Ave/80 St,yes,83,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),1234
Personal,Middle Filter,,31 Ave/80 St,yes,83,no,1: Weekday (Tu-Th),0: All Day (12am-12am),4489
Personal,Middle Filter,,31 Ave/80 St,yes,83,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),290
Personal,Middle Filter,,31 Ave/80 St,yes,83,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),1336
Personal,Middle Filter,,31 Ave/99 St,yes,82,no,0: All Days (M-Su),0: All Day (12am-12am),5434
Personal,Middle Filter,,31 Ave/99 St,yes,82,no,0: All Days (M-Su),1: Peak AM (7am-10am),545
Personal,Middle Filter,,31 Ave/99 St,yes,82,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),1533
Personal,Middle Filter,,31 Ave/99 St,yes,82,no,1: Weekday (Tu-Th),0: All Day (12am-12am),4968
Personal,Middle Filter,,31 Ave/99 St,yes,82,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),512
Personal,Middle Filter,,31 Ave/99 St,yes,82,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),1605
Personal,Middle Filter,,Astoria Blvd/108 ST DMF,yes,109,no,0: All Days (M-Su),0: All Day (12am-12am),41871
Personal,Middle Filter,,Astoria Blvd/108 ST DMF,yes,109,no,0: All Days (M-Su),1: Peak AM (7am-10am),5406
Personal,Middle Filter,,Astoria Blvd/108 ST DMF,yes,109,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),8900
Personal,Middle Filter,,Astoria Blvd/108 ST DMF,yes,109,no,1: Weekday (Tu-Th),0: All Day (12am-12am),42524
Personal,Middle Filter,,Astoria Blvd/108 ST DMF,yes,109,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),5742
Personal,Middle Filter,,Astoria Blvd/108 ST DMF,yes,109,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),9296
Personal,Middle Filter,,Astoria Blvd/80 St,yes,102,no,0: All Days (M-Su),0: All Day (12am-12am),36988
Personal,Middle Filter,,Astoria Blvd/80 St,yes,102,no,0: All Days (M-Su),1: Peak AM (7am-10am),4250
Personal,Middle Filter,,Astoria Blvd/80 St,yes,102,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),8008
Personal,Middle Filter,,Astoria Blvd/80 St,yes,102,no,1: Weekday (Tu-Th),0: All Day (12am-12am),36871
Personal,Middle Filter,,Astoria Blvd/80 St,yes,102,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),4696
Personal,Middle Filter,,Astoria Blvd/80 St,yes,102,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),8410
Personal,Middle Filter,,Astoria Blvd/99 St,yes,102,no,0: All Days (M-Su),0: All Day (12am-12am),47052
Personal,Middle Filter,,Astoria Blvd/99 St,yes,102,no,0: All Days (M-Su),1: Peak AM (7am-10am),5942
Personal,Middle Filter,,Astoria Blvd/99 St,yes,102,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),9672
Personal,Middle Filter,,Astoria Blvd/99 St,yes,102,no,1: Weekday (Tu-Th),0: All Day (12am-12am),47991
Personal,Middle Filter,,Astoria Blvd/99 St,yes,102,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),6507
Personal,Middle Filter,,Astoria Blvd/99 St,yes,102,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),10345
Personal,Middle Filter,,Ditmars Blvd/31 Ave DMF,yes,153,no,0: All Days (M-Su),0: All Day (12am-12am),38123
Personal,Middle Filter,,Ditmars Blvd/31 Ave DMF,yes,153,no,0: All Days (M-Su),1: Peak AM (7am-10am),3997
Personal,Middle Filter,,Ditmars Blvd/31 Ave DMF,yes,153,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),10252
Personal,Middle Filter,,Ditmars Blvd/31 Ave DMF,yes,153,no,1: Weekday (Tu-Th),0: All Day (12am-12am),39532
Personal,Middle Filter,,Ditmars Blvd/31 Ave DMF,yes,153,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),4479
Personal,Middle Filter,,Ditmars Blvd/31 Ave DMF,yes,153,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),10863
Personal,Middle Filter,,GCP to 23 Ave/Ditmars,yes,74,no,0: All Days (M-Su),0: All Day (12am-12am),17038
Personal,Middle Filter,,GCP to 23 Ave/Ditmars,yes,74,no,0: All Days (M-Su),1: Peak AM (7am-10am),2060
Personal,Middle Filter,,GCP to 23 Ave/Ditmars,yes,74,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),3475
Personal,Middle Filter,,GCP to 23 Ave/Ditmars,yes,74,no,1: Weekday (Tu-Th),0: All Day (12am-12am),18049
Personal,Middle Filter,,GCP to 23 Ave/Ditmars,yes,74,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),2448
Personal,Middle Filter,,GCP to 23 Ave/Ditmars,yes,74,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),3825
Personal,Middle Filter,,Northern Blvd/108 St DMF,yes,88,no,0: All Days (M-Su),0: All Day (12am-12am),28215
Personal,Middle Filter,,Northern Blvd/108 St DMF,yes,88,no,0: All Days (M-Su),1: Peak AM (7am-10am),3462
Personal,Middle Filter,,Northern Blvd/108 St DMF,yes,88,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),6719
Personal,Middle Filter,,Northern Blvd/108 St DMF,yes,88,no,1: Weekday (Tu-Th),0: All Day (12am-12am),28188
Personal,Middle Filter,,Northern Blvd/108 St DMF,yes,88,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),3817
Personal,Middle Filter,,Northern Blvd/108 St DMF,yes,88,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),7448
Personal,Middle Filter,,Northern Blvd/80 St,yes,82,no,0: All Days (M-Su),0: All Day (12am-12am),29016
Personal,Middle Filter,,Northern Blvd/80 St,yes,82,no,0: All Days (M-Su),1: Peak AM (7am-10am),2741
Personal,Middle Filter,,Northern Blvd/80 St,yes,82,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),7692
Personal,Middle Filter,,Northern Blvd/80 St,yes,82,no,1: Weekday (Tu-Th),0: All Day (12am-12am),29890
Personal,Middle Filter,,Northern Blvd/80 St,yes,82,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),3125
Personal,Middle Filter,,Northern Blvd/80 St,yes,82,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),8740
Personal,Middle Filter,,Northern Blvd/99 St,yes,82,no,0: All Days (M-Su),0: All Day (12am-12am),28481
Personal,Middle Filter,,Northern Blvd/99 St,yes,82,no,0: All Days (M-Su),1: Peak AM (7am-10am),3084
Personal,Middle Filter,,Northern Blvd/99 St,yes,82,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),7072
Personal,Middle Filter,,Northern Blvd/99 St,yes,82,no,1: Weekday (Tu-Th),0: All Day (12am-12am),28430
Personal,Middle Filter,,Northern Blvd/99 St,yes,82,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),3376
Personal,Middle Filter,,Northern Blvd/99 St,yes,82,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),7871
Personal,Destination,,Astoria Blvd DMF,yes,108,no,0: All Days (M-Su),0: All Day (12am-12am),41811
Personal,Destination,,Astoria Blvd DMF,yes,108,no,0: All Days (M-Su),1: Peak AM (7am-10am),5436
Personal,Destination,,Astoria Blvd DMF,yes,108,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),8865
Personal,Destination,,Astoria Blvd DMF,yes,108,no,1: Weekday (Tu-Th),0: All Day (12am-12am),42552
Personal,Destination,,Astoria Blvd DMF,yes,108,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),5809
Personal,Destination,,Astoria Blvd DMF,yes,108,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),9253
Personal,Destination,,Ditmars DMF,yes,143,no,0: All Days (M-Su),0: All Day (12am-12am),37942
Personal,Destination,,Ditmars DMF,yes,143,no,0: All Days (M-Su),1: Peak AM (7am-10am),3997
Personal,Destination,,Ditmars DMF,yes,143,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),10227
Personal,Destination,,Ditmars DMF,yes,143,no,1: Weekday (Tu-Th),0: All Day (12am-12am),39364
Personal,Destination,,Ditmars DMF,yes,143,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),4470
Personal,Destination,,Ditmars DMF,yes,143,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),10865
Personal,Destination,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),0: All Day (12am-12am),28175
Personal,Destination,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),1: Peak AM (7am-10am),3473
Personal,Destination,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),6727
Personal,Destination,,Northern Blvd EB,yes,89,no,1: Weekday (Tu-Th),0: All Day (12am-12am),28138
Personal,Destination,,Northern Blvd EB,yes,89,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),3845
Personal,Destination,,Northern Blvd EB,yes,89,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),7445
