Type of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-M-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Middle Filter Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,,7 Ave DMF,188,no,,Houston St/Varick St,yes,187,no,0: All Days (M-Su),0: All Day (12am-12am),72616,196608,94623,95254,170
Personal,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,,7 Ave DMF,188,no,,Houston St/Varick St,yes,187,no,0: All Days (M-Su),1: Peak AM (7am-10am),18458,38630,22354,22337,162
Personal,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,,7 Ave DMF,188,no,,Houston St/Varick St,yes,187,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),13267,43124,17096,17219,172
Personal,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,,7 Ave DMF,188,no,,Houston St/Varick St,yes,187,no,1: Weekday (Tu-Th),0: All Day (12am-12am),82905,219836,106562,107235,171
Personal,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,,7 Ave DMF,188,no,,Houston St/Varick St,yes,187,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),23883,48618,28836,28807,163
Personal,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,,7 Ave DMF,188,no,,Houston St/Varick St,yes,187,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),15480,49950,19793,19942,174
Personal,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,,7 Ave DMF,188,no,,McDougal St/Houston St,yes,214,no,0: All Days (M-Su),0: All Day (12am-12am),96,196608,94623,26830,721
Personal,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,,7 Ave DMF,188,no,,McDougal St/Houston St,yes,214,no,0: All Days (M-Su),1: Peak AM (7am-10am),12,38630,22354,5451,558
Personal,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,,7 Ave DMF,188,no,,McDougal St/Houston St,yes,214,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),8,43124,17096,5542,N/A
Personal,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,,7 Ave DMF,188,no,,McDougal St/Houston St,yes,214,no,1: Weekday (Tu-Th),0: All Day (12am-12am),99,219836,106562,29640,894
Personal,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,,7 Ave DMF,188,no,,McDougal St/Houston St,yes,214,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),15,48618,28836,7010,688
Personal,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,,7 Ave DMF,188,no,,McDougal St/Houston St,yes,214,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),6,49950,19793,6269,N/A
Personal,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,,7 Ave DMF,188,no,,Washonton St/Houston St,yes,189,no,0: All Days (M-Su),0: All Day (12am-12am),118,196608,94623,10407,901
Personal,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,,7 Ave DMF,188,no,,Washonton St/Houston St,yes,189,no,0: All Days (M-Su),1: Peak AM (7am-10am),21,38630,22354,1430,1208
Personal,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,,7 Ave DMF,188,no,,Washonton St/Houston St,yes,189,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),20,43124,17096,2325,909
Personal,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,,7 Ave DMF,188,no,,Washonton St/Houston St,yes,189,no,1: Weekday (Tu-Th),0: All Day (12am-12am),135,219836,106562,11394,985
