Type of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index)
Personal,Origin,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),196608
Personal,Origin,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,0: All Days (M-Su),1: Peak AM (7am-10am),38630
Personal,Origin,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),43124
Personal,Origin,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,1: Weekday (Tu-Th),0: All Day (12am-12am),219836
Personal,Origin,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),48618
Personal,Origin,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),49950
Personal,Middle Filter,,7 Ave DMF,yes,188,no,0: All Days (M-Su),0: All Day (12am-12am),94623
Personal,Middle Filter,,7 Ave DMF,yes,188,no,0: All Days (M-Su),1: Peak AM (7am-10am),22354
Personal,Middle Filter,,7 Ave DMF,yes,188,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),17096
Personal,Middle Filter,,7 Ave DMF,yes,188,no,1: Weekday (Tu-Th),0: All Day (12am-12am),106562
Personal,Middle Filter,,7 Ave DMF,yes,188,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),28836
Personal,Middle Filter,,7 Ave DMF,yes,188,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),19793
Personal,Middle Filter,,7 Ave S/W4 St/Christopher St,yes,205,no,0: All Days (M-Su),0: All Day (12am-12am),130111
Personal,Middle Filter,,7 Ave S/W4 St/Christopher St,yes,205,no,0: All Days (M-Su),1: Peak AM (7am-10am),27447
Personal,Middle Filter,,7 Ave S/W4 St/Christopher St,yes,205,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),27215
Personal,Middle Filter,,7 Ave S/W4 St/Christopher St,yes,205,no,1: Weekday (Tu-Th),0: All Day (12am-12am),145545
Personal,Middle Filter,,7 Ave S/W4 St/Christopher St,yes,205,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),34866
Personal,Middle Filter,,7 Ave S/W4 St/Christopher St,yes,205,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),31286
Personal,Middle Filter,,7th Ave SB past Waverly Pl,yes,204,no,0: All Days (M-Su),0: All Day (12am-12am),127060
Personal,Middle Filter,,7th Ave SB past Waverly Pl,yes,204,no,0: All Days (M-Su),1: Peak AM (7am-10am),27130
Personal,Middle Filter,,7th Ave SB past Waverly Pl,yes,204,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),26461
Personal,Middle Filter,,7th Ave SB past Waverly Pl,yes,204,no,1: Weekday (Tu-Th),0: All Day (12am-12am),142245
Personal,Middle Filter,,7th Ave SB past Waverly Pl,yes,204,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),34480
Personal,Middle Filter,,7th Ave SB past Waverly Pl,yes,204,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),30386
Personal,Middle Filter,,Greenwish Ave SB,yes,154,no,0: All Days (M-Su),0: All Day (12am-12am),19251
Personal,Middle Filter,,Greenwish Ave SB,yes,154,no,0: All Days (M-Su),1: Peak AM (7am-10am),2986
Personal,Middle Filter,,Greenwish Ave SB,yes,154,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),4750
Personal,Middle Filter,,Greenwish Ave SB,yes,154,no,1: Weekday (Tu-Th),0: All Day (12am-12am),21301
Personal,Middle Filter,,Greenwish Ave SB,yes,154,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),3843
Personal,Middle Filter,,Greenwish Ave SB,yes,154,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),5424
Personal,Middle Filter,,MacDougal St DMF,yes,213,no,0: All Days (M-Su),0: All Day (12am-12am),26782
Personal,Middle Filter,,MacDougal St DMF,yes,213,no,0: All Days (M-Su),1: Peak AM (7am-10am),5443
