Type of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-M-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Middle Filter Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave before Bussing Ave,163,no,,Baychester Ave SB,yes,165,no,0: All Days (M-Su),0: All Day (12am-12am),2593,16401,8431,7379,321
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave before Bussing Ave,163,no,,Baychester Ave SB,yes,165,no,0: All Days (M-Su),1: Peak AM (7am-10am),369,2322,1189,1103,322
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave before Bussing Ave,163,no,,Baychester Ave SB,yes,165,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),560,3362,1839,1504,352
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave before Bussing Ave,163,no,,Baychester Ave SB,yes,165,no,1: Weekday (Tu-Th),0: All Day (12am-12am),2521,16339,8503,7083,319
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave before Bussing Ave,163,no,,Baychester Ave SB,yes,165,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),499,2777,1508,1338,343
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave before Bussing Ave,163,no,,Baychester Ave SB,yes,165,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),608,3640,1945,1534,340
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave before Bussing Ave,163,no,,Dereimer Ave SB,yes,164,no,0: All Days (M-Su),0: All Day (12am-12am),32,16401,8431,792,544
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave before Bussing Ave,163,no,,Dereimer Ave SB,yes,164,no,0: All Days (M-Su),1: Peak AM (7am-10am),4,2322,1189,188,723
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave before Bussing Ave,163,no,,Dereimer Ave SB,yes,164,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),6,3362,1839,134,308
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave before Bussing Ave,163,no,,Dereimer Ave SB,yes,164,no,1: Weekday (Tu-Th),0: All Day (12am-12am),45,16339,8503,863,658
