Type of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index)
Personal,Origin,,Baychester Ave/E241 St,yes,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),16401
Personal,Origin,,Baychester Ave/E241 St,yes,N/A,no,0: All Days (M-Su),1: Peak AM (7am-10am),2322
Personal,Origin,,Baychester Ave/E241 St,yes,N/A,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),3362
Personal,Origin,,Baychester Ave/E241 St,yes,N/A,no,1: Weekday (Tu-Th),0: All Day (12am-12am),16339
Personal,Origin,,Baychester Ave/E241 St,yes,N/A,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),2777
Personal,Origin,,Baychester Ave/E241 St,yes,N/A,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),3640
Personal,Middle Filter,,Baychester Ave before Bussing Ave,yes,163,no,0: All Days (M-Su),0: All Day (12am-12am),8431
Personal,Middle Filter,,Baychester Ave before Bussing Ave,yes,163,no,0: All Days (M-Su),1: Peak AM (7am-10am),1189
Personal,Middle Filter,,Baychester Ave before Bussing Ave,yes,163,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),1839
Personal,Middle Filter,,Baychester Ave before Bussing Ave,yes,163,no,1: Weekday (Tu-Th),0: All Day (12am-12am),8503
Personal,Middle Filter,,Baychester Ave before Bussing Ave,yes,163,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),1508
Personal,Middle Filter,,Baychester Ave before Bussing Ave,yes,163,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),1945
Personal,Middle Filter,,Baychester Ave DMF,yes,163,no,0: All Days (M-Su),0: All Day (12am-12am),8076
Personal,Middle Filter,,Baychester Ave DMF,yes,163,no,0: All Days (M-Su),1: Peak AM (7am-10am),1181
Personal,Middle Filter,,Baychester Ave DMF,yes,163,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),1650
Personal,Middle Filter,,Baychester Ave DMF,yes,163,no,1: Weekday (Tu-Th),0: All Day (12am-12am),7843
Personal,Middle Filter,,Baychester Ave DMF,yes,163,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),1454
Personal,Middle Filter,,Baychester Ave DMF,yes,163,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),1709
Personal,Middle Filter,,Baychester Ave past Camp St,yes,164,no,0: All Days (M-Su),0: All Day (12am-12am),6696
Personal,Middle Filter,,Baychester Ave past Camp St,yes,164,no,0: All Days (M-Su),1: Peak AM (7am-10am),932
Personal,Middle Filter,,Baychester Ave past Camp St,yes,164,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),1487
Personal,Middle Filter,,Baychester Ave past Camp St,yes,164,no,1: Weekday (Tu-Th),0: All Day (12am-12am),6676
Personal,Middle Filter,,Baychester Ave past Camp St,yes,164,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),1195
Personal,Middle Filter,,Baychester Ave past Camp St,yes,164,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),1577
Personal,Middle Filter,,Dereimer Ave before Bussing Ave,yes,162,no,0: All Days (M-Su),0: All Day (12am-12am),759
Personal,Middle Filter,,Dereimer Ave before Bussing Ave,yes,162,no,0: All Days (M-Su),1: Peak AM (7am-10am),126
Personal,Middle Filter,,Dereimer Ave before Bussing Ave,yes,162,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),156
Personal,Middle Filter,,Dereimer Ave before Bussing Ave,yes,162,no,1: Weekday (Tu-Th),0: All Day (12am-12am),692
Personal,Middle Filter,,Dereimer Ave before Bussing Ave,yes,162,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),160
Personal,Middle Filter,,Dereimer Ave before Bussing Ave,yes,162,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),133
Personal,Middle Filter,,Dereimer Ave DMF,yes,165,no,0: All Days (M-Su),0: All Day (12am-12am),716
Personal,Middle Filter,,Dereimer Ave DMF,yes,165,no,0: All Days (M-Su),1: Peak AM (7am-10am),131
Personal,Middle Filter,,Dereimer Ave DMF,yes,165,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),135
