Type of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index)
Personal,Origin,,Lafayette/Ashland,yes,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),33034
Personal,Origin,,Lafayette/Ashland,yes,N/A,no,0: All Days (M-Su),1: Peak AM (7am-10am),3837
Personal,Origin,,Lafayette/Ashland,yes,N/A,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),7250
Personal,Origin,,Lafayette/Ashland,yes,N/A,no,1: Weekday (Tu-Th),0: All Day (12am-12am),36876
Personal,Origin,,Lafayette/Ashland,yes,N/A,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),4692
Personal,Origin,,Lafayette/Ashland,yes,N/A,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),8558
Personal,Middle Filter,,Fulton St before Washington Ave,yes,103,no,0: All Days (M-Su),0: All Day (12am-12am),27071
Personal,Middle Filter,,Fulton St before Washington Ave,yes,103,no,0: All Days (M-Su),1: Peak AM (7am-10am),2653
Personal,Middle Filter,,Fulton St before Washington Ave,yes,103,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),5925
Personal,Middle Filter,,Fulton St before Washington Ave,yes,103,no,1: Weekday (Tu-Th),0: All Day (12am-12am),29264
Personal,Middle Filter,,Fulton St before Washington Ave,yes,103,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),3161
Personal,Middle Filter,,Fulton St before Washington Ave,yes,103,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),6603
Personal,Middle Filter,,Fulton St DMF,yes,104,no,0: All Days (M-Su),0: All Day (12am-12am),20374
Personal,Middle Filter,,Fulton St DMF,yes,104,no,0: All Days (M-Su),1: Peak AM (7am-10am),2024
Personal,Middle Filter,,Fulton St DMF,yes,104,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),4426
Personal,Middle Filter,,Fulton St DMF,yes,104,no,1: Weekday (Tu-Th),0: All Day (12am-12am),22309
Personal,Middle Filter,,Fulton St DMF,yes,104,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),2330
Personal,Middle Filter,,Fulton St DMF,yes,104,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),5088
Personal,Middle Filter,,Gates Ave DMF,yes,80,no,0: All Days (M-Su),0: All Day (12am-12am),3883
Personal,Middle Filter,,Gates Ave DMF,yes,80,no,0: All Days (M-Su),1: Peak AM (7am-10am),381
Personal,Middle Filter,,Gates Ave DMF,yes,80,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),979
Personal,Middle Filter,,Gates Ave DMF,yes,80,no,1: Weekday (Tu-Th),0: All Day (12am-12am),4208
Personal,Middle Filter,,Gates Ave DMF,yes,80,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),439
Personal,Middle Filter,,Gates Ave DMF,yes,80,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),1165
Personal,Middle Filter,,Gates before Washington Ave,yes,80,no,0: All Days (M-Su),0: All Day (12am-12am),2393
Personal,Middle Filter,,Gates before Washington Ave,yes,80,no,0: All Days (M-Su),1: Peak AM (7am-10am),303
