Type of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index)
Personal,Origin,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),120247
Personal,Origin,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,0: All Days (M-Su),1: Peak AM (7am-10am),22262
Personal,Origin,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),27823
Personal,Origin,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,1: Weekday (Tu-Th),0: All Day (12am-12am),139886
Personal,Origin,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),29331
Personal,Origin,,7 Ave/W11 St/Greenwich Ave,yes,N/A,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),33417
Personal,Middle Filter,,7 Ave DMF,yes,188,no,0: All Days (M-Su),0: All Day (12am-12am),57607
Personal,Middle Filter,,7 Ave DMF,yes,188,no,0: All Days (M-Su),1: Peak AM (7am-10am),13280
Personal,Middle Filter,,7 Ave DMF,yes,188,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),10983
Personal,Middle Filter,,7 Ave DMF,yes,188,no,1: Weekday (Tu-Th),0: All Day (12am-12am),68333
Personal,Middle Filter,,7 Ave DMF,yes,188,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),18155
Personal,Middle Filter,,7 Ave DMF,yes,188,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),12836
Personal,Middle Filter,,7 Ave S/W4 St/Christopher St,yes,205,no,0: All Days (M-Su),0: All Day (12am-12am),78738
Personal,Middle Filter,,7 Ave S/W4 St/Christopher St,yes,205,no,0: All Days (M-Su),1: Peak AM (7am-10am),15662
Personal,Middle Filter,,7 Ave S/W4 St/Christopher St,yes,205,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),17703
Personal,Middle Filter,,7 Ave S/W4 St/Christopher St,yes,205,no,1: Weekday (Tu-Th),0: All Day (12am-12am),93183
Personal,Middle Filter,,7 Ave S/W4 St/Christopher St,yes,205,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),20891
Personal,Middle Filter,,7 Ave S/W4 St/Christopher St,yes,205,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),21629
Personal,Middle Filter,,7th Ave SB past Waverly Pl,yes,204,no,0: All Days (M-Su),0: All Day (12am-12am),77344
Personal,Middle Filter,,7th Ave SB past Waverly Pl,yes,204,no,0: All Days (M-Su),1: Peak AM (7am-10am),15569
Personal,Middle Filter,,7th Ave SB past Waverly Pl,yes,204,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),17309
