Type of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index)
Personal,Origin,,Shore Blvd/Ditmars Blvd,yes,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),3548
Personal,Origin,,Shore Blvd/Ditmars Blvd,yes,N/A,no,0: All Days (M-Su),1: Peak AM (7am-10am),487
Personal,Origin,,Shore Blvd/Ditmars Blvd,yes,N/A,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),987
Personal,Origin,,Shore Blvd/Ditmars Blvd,yes,N/A,no,1: Weekday (Tu-Th),0: All Day (12am-12am),3313
Personal,Origin,,Shore Blvd/Ditmars Blvd,yes,N/A,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),606
Personal,Origin,,Shore Blvd/Ditmars Blvd,yes,N/A,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),862
Personal,Middle Filter,,14st DMF,yes,201,no,0: All Days (M-Su),0: All Day (12am-12am),2611
Personal,Middle Filter,,14st DMF,yes,201,no,0: All Days (M-Su),1: Peak AM (7am-10am),531
Personal,Middle Filter,,14st DMF,yes,201,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),475
Personal,Middle Filter,,14st DMF,yes,201,no,1: Weekday (Tu-Th),0: All Day (12am-12am),2879
Personal,Middle Filter,,14st DMF,yes,201,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),641
Personal,Middle Filter,,14st DMF,yes,201,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),491
Personal,Middle Filter,,19st SB,yes,225,no,0: All Days (M-Su),0: All Day (12am-12am),1213
Personal,Middle Filter,,19st SB,yes,225,no,0: All Days (M-Su),1: Peak AM (7am-10am),107
Personal,Middle Filter,,19st SB,yes,225,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),307
Personal,Middle Filter,,19st SB,yes,225,no,1: Weekday (Tu-Th),0: All Day (12am-12am),1026
Personal,Middle Filter,,19st SB,yes,225,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),74
Personal,Middle Filter,,19st SB,yes,225,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),240
Personal,Middle Filter,,21st DMF,yes,212,no,0: All Days (M-Su),0: All Day (12am-12am),22659
Personal,Middle Filter,,21st DMF,yes,212,no,0: All Days (M-Su),1: Peak AM (7am-10am),5045
Personal,Middle Filter,,21st DMF,yes,212,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),3487
Personal,Middle Filter,,21st DMF,yes,212,no,1: Weekday (Tu-Th),0: All Day (12am-12am),24456
Personal,Middle Filter,,21st DMF,yes,212,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),6320
Personal,Middle Filter,,21st DMF,yes,212,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),3362
Personal,Middle Filter,,21St past 24Rd,yes,223,no,0: All Days (M-Su),0: All Day (12am-12am),11292
