Type of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-M-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Middle Filter Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave DMF,343,no,,Baychester Ave NB,yes,342,no,0: All Days (M-Su),0: All Day (12am-12am),1929,27611,4562,4923,325
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave DMF,343,no,,Baychester Ave NB,yes,342,no,0: All Days (M-Su),1: Peak AM (7am-10am),271,4158,632,670,326
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave DMF,343,no,,Baychester Ave NB,yes,342,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),443,6131,965,1051,339
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave DMF,343,no,,Baychester Ave NB,yes,342,no,1: Weekday (Tu-Th),0: All Day (12am-12am),1938,27883,4470,4823,335
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave DMF,343,no,,Baychester Ave NB,yes,342,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),329,4964,747,789,344
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave DMF,343,no,,Baychester Ave NB,yes,342,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),509,6415,1028,1120,335
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave DMF,343,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),0: All Day (12am-12am),2,27611,4562,278,231
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave/Pitman Ave,345,no,,Baychester Ave NB,yes,342,no,0: All Days (M-Su),0: All Day (12am-12am),1916,27611,5352,4923,321
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave/Pitman Ave,345,no,,Baychester Ave NB,yes,342,no,0: All Days (M-Su),1: Peak AM (7am-10am),276,4158,898,670,328
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave/Pitman Ave,345,no,,Baychester Ave NB,yes,342,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),431,6131,1158,1051,321
