Type of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-M-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Middle Filter Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,,Lafayette/Ashland,yes,N/A,no,,Fulton St before Washington Ave,103,no,,Fulton St beforw Franklin AVE,yes,105,no,0: All Days (M-Su),0: All Day (12am-12am),2314,35617,27217,20954,482
Personal,,Lafayette/Ashland,yes,N/A,no,,Fulton St before Washington Ave,103,no,,Fulton St beforw Franklin AVE,yes,105,no,0: All Days (M-Su),1: Peak AM (7am-10am),209,3901,2878,2506,464
Personal,,Lafayette/Ashland,yes,N/A,no,,Fulton St before Washington Ave,103,no,,Fulton St beforw Franklin AVE,yes,105,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),483,7663,6273,4396,487
Personal,,Lafayette/Ashland,yes,N/A,no,,Fulton St before Washington Ave,103,no,,Fulton St beforw Franklin AVE,yes,105,no,1: Weekday (Tu-Th),0: All Day (12am-12am),2246,36761,29041,21954,483
Personal,,Lafayette/Ashland,yes,N/A,no,,Fulton St before Washington Ave,103,no,,Fulton St beforw Franklin AVE,yes,105,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),215,4456,3281,2892,457
Personal,,Lafayette/Ashland,yes,N/A,no,,Fulton St before Washington Ave,103,no,,Fulton St beforw Franklin AVE,yes,105,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),508,7230,6928,4848,452
Personal,,Lafayette/Ashland,yes,N/A,no,,Fulton St before Washington Ave,103,no,,Gates before Franklin Ave,yes,81,no,0: All Days (M-Su),0: All Day (12am-12am),15,35617,27217,4492,613
Personal,,Lafayette/Ashland,yes,N/A,no,,Fulton St before Washington Ave,103,no,,Gates before Franklin Ave,yes,81,no,1: Weekday (Tu-Th),0: All Day (12am-12am),17,36761,29041,4696,592
Personal,,Lafayette/Ashland,yes,N/A,no,,Fulton St before Washington Ave,103,no,,Greene before Franklin Ave,yes,82,no,0: All Days (M-Su),0: All Day (12am-12am),17,35617,27217,6975,1272
Personal,,Lafayette/Ashland,yes,N/A,no,,Fulton St before Washington Ave,103,no,,Greene before Franklin Ave,yes,82,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),7,7663,6273,2015,1272
