Type of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index)
Personal,Origin,,Lafayette/Ashland,yes,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),35617
Personal,Origin,,Lafayette/Ashland,yes,N/A,no,0: All Days (M-Su),1: Peak AM (7am-10am),3901
Personal,Origin,,Lafayette/Ashland,yes,N/A,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),7663
Personal,Origin,,Lafayette/Ashland,yes,N/A,no,1: Weekday (Tu-Th),0: All Day (12am-12am),36761
Personal,Origin,,Lafayette/Ashland,yes,N/A,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),4456
Personal,Origin,,Lafayette/Ashland,yes,N/A,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),7230
Personal,Middle Filter,,Fulton St before Washington Ave,yes,103,no,0: All Days (M-Su),0: All Day (12am-12am),27217
Personal,Middle Filter,,Fulton St before Washington Ave,yes,103,no,0: All Days (M-Su),1: Peak AM (7am-10am),2878
Personal,Middle Filter,,Fulton St before Washington Ave,yes,103,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),6273
Personal,Middle Filter,,Fulton St before Washington Ave,yes,103,no,1: Weekday (Tu-Th),0: All Day (12am-12am),29041
Personal,Middle Filter,,Fulton St before Washington Ave,yes,103,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),3281
Personal,Middle Filter,,Fulton St before Washington Ave,yes,103,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),6928
Personal,Middle Filter,,Fulton St DMF,yes,104,no,0: All Days (M-Su),0: All Day (12am-12am),21008
Personal,Middle Filter,,Fulton St DMF,yes,104,no,0: All Days (M-Su),1: Peak AM (7am-10am),2515
Personal,Middle Filter,,Fulton St DMF,yes,104,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),4522
Personal,Middle Filter,,Fulton St DMF,yes,104,no,1: Weekday (Tu-Th),0: All Day (12am-12am),21987
Personal,Middle Filter,,Fulton St DMF,yes,104,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),2885
Personal,Middle Filter,,Fulton St DMF,yes,104,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),4940
Personal,Middle Filter,,Gates Ave DMF,yes,80,no,0: All Days (M-Su),0: All Day (12am-12am),4574
Personal,Middle Filter,,Gates Ave DMF,yes,80,no,0: All Days (M-Su),1: Peak AM (7am-10am),536
Personal,Middle Filter,,Gates Ave DMF,yes,80,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),1123
Personal,Middle Filter,,Gates Ave DMF,yes,80,no,1: Weekday (Tu-Th),0: All Day (12am-12am),4719
Personal,Middle Filter,,Gates Ave DMF,yes,80,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),555
Personal,Middle Filter,,Gates Ave DMF,yes,80,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),1423
Personal,Middle Filter,,Gates before Washington Ave,yes,80,no,0: All Days (M-Su),0: All Day (12am-12am),3024
Personal,Middle Filter,,Gates before Washington Ave,yes,80,no,0: All Days (M-Su),1: Peak AM (7am-10am),403
Personal,Middle Filter,,Gates before Washington Ave,yes,80,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),640
Personal,Middle Filter,,Gates before Washington Ave,yes,80,no,1: Weekday (Tu-Th),0: All Day (12am-12am),3163
